,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl_p90 (defense_Padj_p90),TklW_p90 (defense_Padj_p90),Def 3rd_p90 (defense_Padj_p90),Mid 3rd_p90 (defense_Padj_p90),Att 3rd_p90 (defense_Padj_p90),Vs Dribbles Tkl_p90 (defense_Padj_p90),Att_p90 (defense_Padj_p90),Past_p90 (defense_Padj_p90),Press_p90 (defense_Padj_p90),Succ Pressures_p90 (defense_Padj_p90),Pressures Def 3rd_p90 (defense_Padj_p90),Pressures Mid 3rd_p90 (defense_Padj_p90),Pressures Att 3rd_p90 (defense_Padj_p90),Blocks_p90 (defense_Padj_p90),Sh_p90 (defense_Padj_p90),ShSv_p90 (defense_Padj_p90),Pass_p90 (defense_Padj_p90),Int_p90 (defense_Padj_p90),Tkl+Int_p90 (defense_Padj_p90),Clr_p90 (defense_Padj_p90),Err_p90 (defense_Padj_p90),Padj Tkl+Int p90 (defense_Padj_p90),SCA_p90 (gca_p90),PassLive_p90 (gca_p90),PassDead_p90 (gca_p90),Drib_p90 (gca_p90),Sh_p90 (gca_p90),Fld_p90 (gca_p90),Def_p90 (gca_p90),GCA_p90 (gca_p90),GCA Types PassLive_p90 (gca_p90),GCA Types PassDead_p90 (gca_p90),GCA Types Drib_p90 (gca_p90),GCA Types Sh_p90 (gca_p90),GCA Types Fld_p90 (gca_p90),GCA Types Def_p90 (gca_p90),GA_p90 (keepersadv_p90),PKA_p90 (keepersadv_p90),FK_p90 (keepersadv_p90),CK_p90 (keepersadv_p90),OG_p90 (keepersadv_p90),PSxG_p90 (keepersadv_p90),PSxG/SoT_p90 (keepersadv_p90),PSxG+/-_p90 (keepersadv_p90),Cmp_p90 (keepersadv_p90),Att_p90 (keepersadv_p90),Passes Att_p90 (keepersadv_p90),Thr_p90 (keepersadv_p90),AvgLen_p90 (keepersadv_p90),Goal Kicks Att_p90 (keepersadv_p90),Goal Kicks AvgLen_p90 (keepersadv_p90),Opp_p90 (keepersadv_p90),Stp_p90 (keepersadv_p90),#OPA_p90 (keepersadv_p90),AvgDist_p90 (keepersadv_p90),Starts_p90 (keepers_p90),Min_p90 (keepers_p90),GA_p90 (keepers_p90),SoTA_p90 (keepers_p90),Saves_p90 (keepers_p90),W_p90 (keepers_p90),D_p90 (keepers_p90),L_p90 (keepers_p90),CS_p90 (keepers_p90),PKatt_p90 (keepers_p90),PKA_p90 (keepers_p90),PKsv_p90 (keepers_p90),PKm_p90 (keepers_p90),CrdY_p90 (misc_p90),CrdR_p90 (misc_p90),2CrdY_p90 (misc_p90),Fls_p90 (misc_p90),Fld_p90 (misc_p90),Off_p90 (misc_p90),Crs_p90 (misc_p90),Int_p90 (misc_p90),TklW_p90 (misc_p90),PKwon_p90 (misc_p90),PKcon_p90 (misc_p90),OG_p90 (misc_p90),Recov_p90 (misc_p90),Won_p90 (misc_p90),Lost_p90 (misc_p90),Completed Passes_p90 (passing_p90),Attempted Passes_p90 (passing_p90),TotDist Passed_p90 (passing_p90),PrgDist Passed_p90 (passing_p90),Short Cmp_p90 (passing_p90),Short Att_p90 (passing_p90),Medium Cmp_p90 (passing_p90),Medium Att_p90 (passing_p90),Long Cmp_p90 (passing_p90),Long Att_p90 (passing_p90),Ast_p90 (passing_p90),xA_p90 (passing_p90),A-xA_p90 (passing_p90),KP_p90 (passing_p90),Passes into Final 1/3_p90 (passing_p90),Passes into Penalty Area_p90 (passing_p90),CrsPA_p90 (passing_p90),Prog Passes_p90 (passing_p90),Att_p90 (passing_types_p90),Live_p90 (passing_types_p90),Dead_p90 (passing_types_p90),FK_p90 (passing_types_p90),TB_p90 (passing_types_p90),Press_p90 (passing_types_p90),Sw_p90 (passing_types_p90),Crs_p90 (passing_types_p90),CK_p90 (passing_types_p90),In_p90 (passing_types_p90),Out_p90 (passing_types_p90),Str_p90 (passing_types_p90),Ground_p90 (passing_types_p90),Low_p90 (passing_types_p90),High_p90 (passing_types_p90),Left_p90 (passing_types_p90),Right_p90 (passing_types_p90),Head_p90 (passing_types_p90),TI_p90 (passing_types_p90),Other_p90 (passing_types_p90),Cmp_p90 (passing_types_p90),Off_p90 (passing_types_p90),Outcomes Out_p90 (passing_types_p90),Int_p90 (passing_types_p90),Blocks_p90 (passing_types_p90),Min_p90 (playingtime_p90),Mn/MP_p90 (playingtime_p90),Starts_p90 (playingtime_p90),Mn/Start_p90 (playingtime_p90),Compl_p90 (playingtime_p90),Subs_p90 (playingtime_p90),Mn/Sub_p90 (playingtime_p90),unSub_p90 (playingtime_p90),PPM_p90 (playingtime_p90),onG_p90 (playingtime_p90),onGA_p90 (playingtime_p90),+/-_p90 (playingtime_p90),On-Off_p90 (playingtime_p90),onxG_p90 (playingtime_p90),onxGA_p90 (playingtime_p90),xG+/-_p90 (playingtime_p90),Team Success (xG) On-Off_p90 (playingtime_p90),Touches_p90 (possession_p90),Def Pen_p90 (possession_p90),Def 3rd_p90 (possession_p90),Mid 3rd_p90 (possession_p90),Att 3rd_p90 (possession_p90),Att Pen_p90 (possession_p90),Live_p90 (possession_p90),Successful Dribbles_p90 (possession_p90),Attempted Dribbles_p90 (possession_p90),#Pl_p90 (possession_p90),Megs_p90 (possession_p90),Carries_p90 (possession_p90),TotDist Carried_p90 (possession_p90),PrgDist Carried_p90 (possession_p90),Prog Carries_p90 (possession_p90),Carries into Final 1/3_p90 (possession_p90),Carries into Penalty Area_p90 (possession_p90),Mis_p90 (possession_p90),Dis_p90 (possession_p90),Targ_p90 (possession_p90),Rec_p90 (possession_p90),Receiving Prog_p90 (possession_p90),Prog Actions (possession_p90),Prog Actions_p90 (possession_p90),KP_p90 (possession_p90),Passes into Final 1/3_p90 (possession_p90),Passes into Penalty Area_p90 (possession_p90),Prog Passes_p90 (possession_p90),xA_p90 (possession_p90),Prog Passes_p90 per 50 passes (possession_p90),Prog Carries_p90 per 100 touches (possession_p90),True Interceptions_p90 (possession_p90),Gls_p90 (possession_p90),Sh_p90 (possession_p90),SoT_p90 (possession_p90),Average Shot Distance (yards) (possession_p90),npxG_p90 (possession_p90),npxG/Shot (possession_p90),Press_p90 (possession_p90),Succ Pressures_p90 (possession_p90),Shots Blocked_p90 (possession_p90),Aerial Win % (possession_p90),% of Dribblers Tackled (possession_p90),Padj Tkl+Int p90 (possession_p90),Gls_p90 (shooting_p90),Sh_p90 (shooting_p90),SoT_p90 (shooting_p90),G/Sh_p90 (shooting_p90),G/SoT_p90 (shooting_p90),Dist_p90 (shooting_p90),FK_p90 (shooting_p90),PK_p90 (shooting_p90),PKatt_p90 (shooting_p90),xG_p90 (shooting_p90),npxG_p90 (shooting_p90),npxG/Sh_p90 (shooting_p90),G-xG_p90 (shooting_p90),np:G-xG_p90 (shooting_p90),TMPosition
554,554,555.0,Aaron Connolly,IRL,FW,Brighton,Premier League,22.0,2000.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.59,15.88,2.94,2.35,6.47,7.06,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.59,4.12,0.0,0.59,0.0,0.0,0.0,0.0,0.0,4.12,0.0,4.12,8.82,10.59,124.71,5.88,5.29,6.47,3.53,4.12,0.0,0.0,0.0,0.24,-0.24,0.59,0.0,0.0,0.0,0.0,10.59,10.0,0.59,0.0,0.0,3.53,0.0,0.59,0.0,0.0,0.0,0.0,8.82,1.76,0.0,0.59,8.82,0.0,0.0,1.18,8.82,0.0,0.0,0.59,0.59,100.0,32.5,0.0,0.0,0.0,7.5,32.5,12.5,2.5,2.5,2.5,0.0,1.1,0.5,1.5,-0.75,-1.17,20.0,0.0,0.0,8.24,12.35,2.35,19.41,0.0,0.59,0.0,0.0,12.94,77.65,24.71,1.76,0.0,0.0,1.76,0.59,38.24,12.94,4.12,3.0,1.76,0.59,0.0,0.0,0.0,0.24,0.0,8.8,1.18,0.0,1.18,0.0,14.9,0.29,0.23,15.88,2.94,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,8.76,0.0,0.0,0.0,0.29,0.29,0.14,-0.29,-0.29,Centre-Forward
588,588,589.0,Aaron Cresswell,ENG,DF,West Ham,Premier League,32.0,1989.0,29.3,1.02,0.65,0.68,0.27,0.07,0.48,0.92,0.44,6.93,2.22,3.52,2.42,0.99,1.6,0.58,0.0,1.02,1.47,2.49,2.39,0.0,2.3,1.64,0.89,0.68,0.0,0.07,0.0,0.0,0.17,0.07,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.65,0.44,0.07,2.05,1.47,0.65,0.0,0.03,0.0,7.95,1.16,1.02,54.44,67.88,989.18,415.39,24.27,26.21,23.62,26.83,5.97,12.59,0.1,0.11,-0.01,1.19,4.23,0.82,0.27,5.19,67.88,56.42,11.47,1.91,0.0,6.93,1.54,2.05,1.74,0.44,1.3,0.0,41.98,11.74,14.16,53.58,3.92,1.54,7.82,0.24,54.44,0.34,0.96,1.91,1.91,,,,,,,,inf,,,,,,,,,,75.8,4.61,23.34,36.31,20.38,0.92,64.3,0.1,0.44,0.1,0.1,46.31,199.01,99.86,3.72,1.6,0.07,0.27,0.38,50.38,48.5,0.96,261.0,8.91,1.19,4.23,0.82,5.19,0.11,4.77,4.91,3.0700000000000003,0.07,0.55,0.1,20.4,0.03,0.06,6.93,2.22,0.58,53.1,51.9,2.3,0.07,0.55,0.1,0.0,0.02,0.7,0.27,0.0,0.0,0.03,0.03,0.0,0.03,0.03,Left-Back
1176,1176,1177.0,Aaron Hickey,SCO,DF,Bologna,Serie A,19.0,2002.0,31.1,1.41,0.71,0.74,0.39,0.29,0.51,0.87,0.35,12.8,3.54,6.17,4.41,2.22,2.09,0.48,0.0,1.61,1.22,2.64,1.41,0.0,2.73,1.25,1.06,0.03,0.06,0.0,0.06,0.03,0.13,0.13,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.0,0.0,1.45,2.41,0.1,1.25,1.22,0.71,0.0,0.0,0.0,5.79,0.55,1.32,34.05,41.61,533.7,169.84,18.23,20.0,13.34,16.27,1.93,3.67,0.03,0.05,-0.01,0.58,1.13,0.68,0.29,1.58,41.61,33.02,8.59,0.74,0.03,6.69,0.32,1.25,0.0,0.0,0.0,0.0,27.27,8.23,6.11,19.0,13.38,1.03,7.85,0.06,34.05,0.06,0.35,1.13,0.96,90.08,3.23,1.06,3.27,0.71,0.04,2.05,0.2,0.06,1.34,1.34,0.0,-0.06,1.54,1.25,0.3,-0.02,52.38,2.93,16.43,23.67,15.95,1.06,44.08,0.9,1.77,1.13,0.06,33.47,171.93,95.24,4.24,1.45,0.32,1.03,0.87,35.92,31.29,2.41,181.0,5.82,0.58,1.13,0.68,1.58,0.05,2.32,8.09,3.31,0.16,0.68,0.42,21.0,0.04,0.05,12.8,3.54,0.48,29.3,59.3,2.73,0.16,0.68,0.42,0.01,0.01,0.68,0.0,0.0,0.0,0.04,0.04,0.0,0.13,0.13,Left-Back
1497,1497,1498.0,Aaron Lennon,ENG,MF,Burnley,Premier League,35.0,1987.0,16.9,2.25,1.07,0.77,0.95,0.53,0.53,2.31,1.78,20.41,4.91,5.68,8.28,6.45,1.78,0.24,0.0,1.54,0.89,3.14,0.65,0.0,1.69,1.78,1.12,0.0,0.3,0.0,0.36,0.0,0.3,0.06,0.0,0.12,0.0,0.12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.0,0.0,1.36,1.42,0.24,1.78,0.89,1.07,0.0,0.06,0.0,5.27,0.59,1.42,14.62,22.13,216.63,48.28,9.23,11.6,4.08,6.04,1.01,2.54,0.0,0.03,-0.03,0.59,0.47,0.3,0.12,0.89,22.13,21.72,0.41,0.06,0.0,3.73,0.53,1.78,0.06,0.06,0.0,0.0,14.56,3.25,4.32,2.07,18.58,0.83,0.18,0.0,14.62,0.18,0.41,0.89,1.89,,,,,,,,inf,,,,,,,,,,32.43,1.36,5.5,13.37,15.27,2.84,32.07,0.89,2.19,1.07,0.06,21.36,107.34,55.38,3.31,0.77,1.07,1.07,0.95,27.81,20.0,2.96,71.0,4.2,0.59,0.47,0.3,0.89,0.03,3.04,10.21,2.67,0.12,0.65,0.18,19.3,0.07,0.1,20.41,4.91,0.24,29.4,23.1,1.69,0.12,0.65,0.18,0.01,0.04,1.14,0.0,0.0,0.0,0.07,0.07,0.01,0.05,0.05,Right Winger
2193,2193,2194.0,Aaron Ramsdale,ENG,GK,Arsenal,Premier League,24.0,1998.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.09,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.03,23.24,34.24,665.67,401.88,5.3,5.36,10.45,10.64,7.36,18.06,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,34.24,26.03,8.21,2.52,0.0,2.67,1.03,0.0,0.0,0.0,0.0,0.0,17.94,1.3,15.0,2.39,25.52,0.03,0.03,4.7,23.24,0.09,1.36,0.52,0.09,90.12,3.48,0.99,3.56,0.99,0.04,1.19,0.0,0.02,0.83,2.33,-1.5,0.01,0.98,1.8,-0.82,0.01,37.03,29.55,36.73,0.39,0.0,0.0,28.94,0.06,0.06,0.06,0.0,20.24,104.94,54.79,0.0,0.0,0.0,0.0,0.0,18.0,17.88,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
2194,2194,2195.0,Aaron Ramsey,WAL,MF,Juventus,Serie A,31.0,1990.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,2.06,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.91,0.91,0.0,0.0,1.82,0.0,0.0,0.0,0.0,3.64,0.0,0.0,54.55,60.91,1070.91,249.09,22.73,25.45,22.73,24.55,9.09,10.91,0.0,0.09,-0.09,1.82,4.55,0.0,0.0,3.64,60.91,57.27,3.64,2.73,0.0,8.18,1.82,0.0,0.0,0.0,0.0,0.0,47.27,6.36,7.27,26.36,30.91,3.64,0.0,0.0,54.55,0.0,0.0,1.82,0.0,89.57,8.17,0.97,9.68,0.97,0.22,1.29,2.26,0.08,0.32,1.61,-1.29,-0.06,0.74,1.78,-1.03,-0.07,62.73,1.82,16.36,37.27,10.0,1.82,60.0,0.0,0.0,0.0,0.0,42.73,140.91,56.36,1.82,0.91,0.0,0.91,0.91,55.45,53.64,1.82,6.0,5.46,1.82,4.55,0.0,3.64,0.09,3.34,2.9,1.82,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Midfield
2791,2791,2792.0,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,Premier League,24.0,1997.0,19.9,2.31,1.26,1.31,0.65,0.35,0.35,0.9,0.55,11.31,3.22,5.33,3.92,2.06,2.81,0.75,0.05,2.06,2.56,4.87,2.41,0.0,5.52,1.56,1.26,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.95,0.85,0.05,1.11,2.56,1.26,0.0,0.05,0.0,8.24,0.95,1.56,46.68,55.93,694.32,233.12,27.79,30.4,15.03,17.34,2.41,4.42,0.0,0.05,-0.05,0.7,2.16,0.6,0.35,2.66,55.93,46.88,9.05,0.55,0.0,7.04,1.01,1.11,0.0,0.0,0.0,0.0,39.4,11.56,4.97,3.52,42.11,1.21,8.49,0.0,46.68,0.1,0.5,2.56,1.81,89.39,7.55,1.02,12.24,0.2,1.43,3.88,3.88,0.49,2.65,1.02,1.63,-0.03,2.18,1.08,1.08,-0.1,68.49,4.22,23.57,30.85,18.49,1.31,59.55,1.81,2.91,1.91,0.25,43.22,200.65,112.76,4.72,1.66,0.2,0.55,1.41,44.27,40.2,1.86,147.0,7.38,0.7,2.16,0.6,2.66,0.05,2.85,6.89,5.37,0.0,0.25,0.05,13.5,0.01,0.04,11.31,3.22,0.75,38.0,38.9,5.52,0.0,0.25,0.05,0.0,0.0,0.68,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Right-Back
826,826,827.0,Aarón Escandell,ESP,GK,Granada,La Liga,26.0,1995.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.31,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,22.5,39.06,913.75,689.69,4.06,4.06,4.38,5.0,13.75,29.69,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,39.06,22.5,16.56,5.0,0.0,1.56,1.56,0.0,0.0,0.0,0.0,0.0,9.38,1.88,27.81,3.75,26.56,0.31,0.0,4.06,22.5,0.0,1.25,0.94,0.0,89.83,3.11,1.02,3.57,0.64,0.21,0.81,0.13,0.1,2.6,0.85,1.74,-0.02,2.09,0.81,1.29,-0.04,42.19,36.88,41.56,0.62,0.0,0.0,25.94,0.0,0.0,0.0,0.0,14.38,89.06,54.69,0.0,0.0,0.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper
1664,1664,1665.0,Aarón Martín,ESP,DF,Mainz 05,Bundesliga,25.0,1997.0,25.5,2.27,1.25,1.33,0.71,0.24,0.75,1.73,0.98,15.29,5.18,5.96,6.78,2.55,1.33,0.16,0.0,1.18,1.37,3.65,1.88,0.0,2.96,2.51,1.33,1.06,0.0,0.08,0.04,0.0,0.12,0.04,0.08,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.0,0.0,1.33,0.67,0.0,2.9,1.37,1.25,0.0,0.0,0.0,6.82,0.67,1.1,30.9,43.8,601.1,245.33,13.73,15.61,11.76,14.75,5.14,12.08,0.04,0.16,-0.12,1.92,2.12,1.1,0.71,3.02,43.8,33.76,10.04,1.25,0.04,5.29,2.16,2.9,3.76,2.08,1.37,0.04,22.59,7.73,13.49,34.78,2.55,1.02,5.02,0.08,30.9,0.2,0.47,1.76,1.57,90.0,3.35,0.97,4.13,0.83,0.34,1.07,0.49,0.11,1.55,0.44,1.12,0.02,1.65,0.78,0.87,0.02,53.22,1.8,14.39,23.53,18.12,0.94,43.06,1.25,1.96,1.37,0.0,29.65,131.96,64.86,2.31,0.82,0.04,0.75,0.71,32.31,28.51,1.37,136.0,5.33,1.92,2.12,1.1,3.02,0.16,4.89,4.34,2.7,0.04,0.71,0.16,21.2,0.04,0.06,15.29,5.18,0.16,37.8,43.2,2.96,0.04,0.71,0.16,0.0,0.01,0.83,0.2,0.0,0.0,0.04,0.04,0.0,0.0,0.0,Left-Back
1255,1255,1256.0,Abdel Jalil Medioub,ALG,DF,Bordeaux,Ligue 1,24.0,1997.0,6.9,2.17,1.16,1.01,1.16,0.0,0.72,1.01,0.29,6.81,2.46,4.49,1.74,0.58,1.45,0.72,0.0,0.72,2.46,4.64,4.49,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.58,0.14,0.0,0.0,2.46,1.16,0.0,0.0,0.0,8.12,1.74,0.58,33.62,41.16,722.75,247.1,9.71,11.45,17.68,19.42,5.94,9.71,0.0,0.0,0.0,0.0,1.16,0.0,0.0,1.59,41.16,40.29,0.87,0.72,0.14,3.62,1.16,0.0,0.0,0.0,0.0,0.0,30.0,3.48,7.68,3.62,34.06,2.61,0.14,0.0,33.62,0.0,0.87,0.72,0.29,89.63,7.04,0.74,31.48,0.37,4.07,2.59,5.56,0.88,1.48,0.74,0.74,-0.13,1.56,1.04,0.52,-0.09,52.17,7.83,36.09,17.54,0.72,0.43,51.45,0.58,0.58,0.58,0.0,30.14,111.45,69.13,1.3,0.14,0.0,0.58,0.14,31.88,31.74,0.0,20.0,2.89,0.0,1.16,0.0,1.59,0.0,2.36,2.49,3.91,0.0,0.43,0.0,22.1,0.01,0.02,6.81,2.46,0.72,75.0,71.4,3.99,0.0,0.43,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.01,0.01,0.0,-0.01,-0.01,Centre-Back
